package,version,category
altair,6.2.2,core
annotated-doc,0.0.4,core
anyio,4.14.2,core
attrs,26.1.0,core
blinker,1.9.0,core
cachetools,7.1.4,core
certifi,2026.6.17,core
charset-normalizer,3.4.9,core
click,8.4.2,core
colorama,0.4.6,core
contourpy,1.3.2,core
cycler,0.12.1,core
exceptiongroup,1.3.1,core
faiss-cpu,1.14.3,rag/embeddings
filelock,3.29.7,core
fonttools,4.63.0,core
fsspec,2026.6.0,core
gitdb,4.0.12,core
GitPython,3.1.51,core
h11,0.16.0,core
hf-xet,1.5.1,core
httpcore,1.0.9,core
httptools,0.8.0,core
httpx,0.28.1,core
huggingface_hub,1.23.0,core
idna,3.18,core
ImageHash,4.3.2,core
iniconfig,2.3.0,core
itsdangerous,2.2.0,core
Jinja2,3.1.6,core
joblib,1.5.3,core
jsonschema,4.26.0,core
jsonschema-specifications,2025.9.1,core
kiwisolver,1.5.0,core
markdown-it-py,4.2.0,core
MarkupSafe,3.0.3,core
matplotlib,3.10.9,core
mdurl,0.1.2,core
mpmath,1.3.0,core
narwhals,2.23.0,core
networkx,3.4.2,core
numpy,2.2.6,core
packaging,26.2,core
pandas,2.3.3,core
pillow,12.3.0,core
plotly,6.9.0,app
pluggy,1.6.0,core
protobuf,7.35.1,core
pyarrow,25.0.0,core
pydeck,0.9.3,core
Pygments,2.20.0,core
pyparsing,3.3.2,core
pypdf,6.14.2,core
pytest,9.1.1,test
python-dateutil,2.9.0.post0,core
python-dotenv,1.2.2,core
python-multipart,0.0.32,core
pytz,2026.2,core
PyWavelets,1.8.0,core
PyYAML,6.0.3,core
referencing,0.37.0,core
regex,2026.7.10,core
requests,2.34.2,core
rich,15.0.0,core
rpds-py,0.30.0,core
safetensors,0.8.0,lora/diffusion
scikit-learn,1.7.2,core
scipy,1.15.3,core
sentence-transformers,5.6.0,rag/embeddings
shellingham,1.5.4,core
six,1.17.0,core
smmap,5.0.3,core
starlette,1.3.1,core
streamlit,1.59.1,app
sympy,1.14.0,core
tenacity,9.1.4,core
threadpoolctl,3.6.0,core
tokenizers,0.22.2,core
toml,0.10.2,core
tomli,2.4.1,core
torch,2.7.1+cu118,vision/pytorch
torchvision,0.22.1+cu118,vision/pytorch
tqdm,4.68.4,core
transformers,5.13.1,rag/embeddings
typer,0.26.8,core
typing_extensions,4.16.0,core
tzdata,2026.3,core
urllib3,2.7.0,core
uvicorn,0.51.0,core
watchdog,6.0.0,core
websockets,16.1,core
