path,type,size_bytes,status,accuracy,macro_f1,macro_precision,macro_recall,test_macro_f1,validation_macro_f1
results/system/final_metrics.json,final_metrics.json,7949,readable,,,,,,
results/vision/resnet18_baseline/archive_before_reconciliation/classification_report.csv,classification_report.csv,622,readable,,,,,,
results/vision/resnet18_baseline/archive_before_reconciliation/metrics_test.json,metrics_test.json,957,readable,0.6704980842911877,0.6259550750897566,0.7411933804013591,0.6505341908884237,,
results/vision/resnet18_baseline/archive_before_reconciliation/metrics_validation.json,metrics_validation.json,930,readable,0.9233716475095786,0.9231883922779236,0.9227949127730211,0.924194059989101,,
results/vision/resnet18_baseline/archive_before_reconciliation/run_summary.json,run_summary.json,714,readable,,,,,0.9178406787519563,
results/vision/resnet18_baseline/classification_report.csv,classification_report.csv,622,readable,,,,,,
results/vision/resnet18_baseline/metrics_test.json,metrics_test.json,957,readable,0.6704980842911877,0.6259550750897566,0.7411933804013591,0.6505341908884237,,
results/vision/resnet18_baseline/metrics_validation.json,metrics_validation.json,930,readable,0.9233716475095786,0.9231883922779236,0.9227949127730211,0.924194059989101,,
results/vision/resnet18_baseline/run_summary.json,run_summary.json,786,readable,,,,,0.6259550750897566,
results/vision/resultados_1_baseline/archive_original/classification_report.csv,classification_report.csv,622,readable,,,,,,
results/vision/resultados_1_baseline/archive_original/metrics_test.json,metrics_test.json,957,readable,0.6704980842911877,0.6259550750897566,0.7411933804013591,0.6505341908884237,,
results/vision/resultados_1_baseline/archive_original/metrics_validation.json,metrics_validation.json,930,readable,0.9233716475095786,0.9231883922779236,0.9227949127730211,0.924194059989101,,
results/vision/resultados_1_baseline/archive_original/r1_metricas.json,r1_metricas.json,957,readable,0.6704980842911877,0.6259550750897566,0.7411933804013591,0.6505341908884237,,
results/vision/resultados_1_baseline/archive_original/run_summary.json,run_summary.json,786,readable,,,,,0.6259550750897566,
results/vision/resultados_1_baseline/classification_report.csv,classification_report.csv,622,readable,,,,,,
results/vision/resultados_1_baseline/metrics_test.json,metrics_test.json,957,readable,0.6704980842911877,0.6259550750897566,0.7411933804013591,0.6505341908884237,,
results/vision/resultados_1_baseline/metrics_validation.json,metrics_validation.json,930,readable,0.9233716475095786,0.9231883922779236,0.9227949127730211,0.924194059989101,,
results/vision/resultados_1_baseline/r1_metricas.json,r1_metricas.json,957,readable,0.6704980842911877,0.6259550750897566,0.7411933804013591,0.6505341908884237,,
results/vision/resultados_1_baseline/run_summary.json,run_summary.json,1608,readable,,,,,0.6259550750897566,
results/vision/resultados_2_mejoras/05_resnet18_v2/classification_report.csv,classification_report.csv,591,readable,,,,,,
results/vision/resultados_2_mejoras/05_resnet18_v2/metrics_test.json,metrics_test.json,926,readable,0.9042145593869731,0.9033285077282003,0.9042264905962385,0.9046576406562215,,
results/vision/resultados_2_mejoras/05_resnet18_v2/metrics_validation.json,metrics_validation.json,952,readable,0.921455938697318,0.9207006744711761,0.9218376460599679,0.92101513947732,,
results/vision/resultados_2_mejoras/05_resnet18_v2/run_summary.json,run_summary.json,1208,readable,,,,,0.9033285077282003,0.9207006744711761
results/vision/resultados_2_mejoras/07_tta/tta_test_results.json,tta_test_results.json,1461,readable,,,,,,
results/vision/resultados_2_mejoras/08_comparacion_modelos/run_summary.json,run_summary.json,3000,readable,,,,,0.8683055921225626,0.8995323565323565
results/vision/resultados_2_mejoras/08_comparacion_modelos/smoke_test/run_summary.json,run_summary.json,1209,readable,,,,,0.08,0.08
results/vision/resultados_2_mejoras/final/final_metrics.json,final_metrics.json,21612,readable,,,,,,
results/vision/smoke_test/classification_report.csv,classification_report.csv,297,readable,,,,,,
results/vision/smoke_test/metrics_test.json,metrics_test.json,707,readable,0.2,0.1,0.06666666666666667,0.2,,
results/vision/smoke_test/metrics_validation.json,metrics_validation.json,739,readable,0.1,0.04444444444444444,0.02857142857142857,0.1,,
results/vision/smoke_test/run_summary.json,run_summary.json,675,readable,,,,,0.1,
results/vision/smoke_test_efficientnet_b0/run_summary.json,run_summary.json,1164,readable,,,,,0.06666666666666667,0.06666666666666667
results/vision/smoke_test_resnet18_v2/classification_report.csv,classification_report.csv,297,readable,,,,,,
results/vision/smoke_test_resnet18_v2/metrics_test.json,metrics_test.json,708,readable,0.2,0.06666666666666667,0.04,0.2,,
results/vision/smoke_test_resnet18_v2/metrics_validation.json,metrics_validation.json,708,readable,0.2,0.06666666666666667,0.04,0.2,,
results/vision/smoke_test_resnet18_v2/run_summary.json,run_summary.json,1132,readable,,,,,0.06666666666666667,0.06666666666666667
