section,metric,label,value,status,source
vision,accuracy,,0.670498,available,results/vision/resnet18_baseline/metrics_test.json
vision,macro_precision,,0.741193,available,results/vision/resnet18_baseline/metrics_test.json
vision,macro_recall,,0.650534,available,results/vision/resnet18_baseline/metrics_test.json
vision,macro_f1,,0.625955,available,results/vision/resnet18_baseline/metrics_test.json
vision,f1_by_class,intact,0.296296,available,results/vision/resnet18_baseline/metrics_test.json
vision,f1_by_class,spotted,0.724409,available,results/vision/resnet18_baseline/metrics_test.json
vision,f1_by_class,immature,0.688406,available,results/vision/resnet18_baseline/metrics_test.json
vision,f1_by_class,broken,0.641975,available,results/vision/resnet18_baseline/metrics_test.json
vision,f1_by_class,skin_damaged,0.778689,available,results/vision/resnet18_baseline/metrics_test.json
vision,confusion_matrix_count,true=intact;pred=intact,16,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=intact;pred=spotted,13,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=intact;pred=immature,48,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=intact;pred=broken,1,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=intact;pred=skin_damaged,13,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=spotted;pred=intact,0,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=spotted;pred=spotted,92,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=spotted;pred=immature,4,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=spotted;pred=broken,6,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=spotted;pred=skin_damaged,4,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=immature;pred=intact,1,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=immature;pred=spotted,10,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=immature;pred=immature,95,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=immature;pred=broken,0,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=immature;pred=skin_damaged,6,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=broken;pred=intact,0,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=broken;pred=spotted,27,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=broken;pred=immature,8,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=broken;pred=broken,52,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=broken;pred=skin_damaged,13,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=skin_damaged;pred=intact,0,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=skin_damaged;pred=spotted,6,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=skin_damaged;pred=immature,9,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=skin_damaged;pred=broken,3,available,results/vision/resnet18_baseline/test_predictions.csv
vision,confusion_matrix_count,true=skin_damaged;pred=skin_damaged,95,available,results/vision/resnet18_baseline/test_predictions.csv
rag,hit_at_1,,0.450000,available,results/rag/evaluation/metrics.json
rag,hit_at_3,,0.700000,available,results/rag/evaluation/metrics.json
rag,hit_at_5,,0.800000,available,results/rag/evaluation/metrics.json
rag,mrr,,0.589167,available,results/rag/evaluation/metrics.json
rag,latency_ms,,12.807400,available,results/rag/evaluation/metrics.json
rag,human_review_metrics,,pending,available,results/rag/evaluation/metrics.json
lora,status,,PARTIAL,available,results/lora/run_manifest.json
lora,sample_count,,7,available,results/lora/run_manifest.json
lora,dataset_metadata_records,,1000,available,results/lora/run_manifest.json
lora,base_vs_lora_evidence,,N/A,missing,results/lora/run_manifest.json
lora,visual_evaluation_status,,N/A,missing,results/lora/run_manifest.json
system,demo_case_count,,5,available,results/system/demo_cases.csv
system,demo_success_count,,5,available,results/system/demo_cases.csv
system,mean_visual_inference_seconds,,8.850886,available,results/system/demo_cases.csv
system,mean_retrieval_seconds,,0.809960,available,results/system/demo_cases.csv
system,mean_total_seconds,,9.671234,available,results/system/demo_cases.csv
system,source_available,dataset_split,true,available,data/metadata/dataset_split.csv
system,source_available,lora_run_manifest,true,available,results/lora/run_manifest.json
system,source_available,lora_training_summary,true,available,results/lora/training_summary.json
system,source_available,rag_index,true,available,vector_db/index.faiss
system,source_available,rag_metadata,true,available,vector_db/metadata.json
system,source_available,rag_metrics,true,available,results/rag/evaluation/metrics.json
system,source_available,rag_query_results,true,available,results/rag/evaluation/query_results.csv
system,source_available,vision_checkpoint,true,available,models/vision/resnet18_baseline_best.pt
system,source_available,vision_metrics,true,available,results/vision/resnet18_baseline/metrics_test.json
system,source_available,vision_predictions,true,available,results/vision/resnet18_baseline/test_predictions.csv
