bin_index,bin_lower,bin_upper,count_before,accuracy_before,confidence_before,abs_gap_before,count_after,accuracy_after,confidence_after,abs_gap_after
0,0.000000,0.100000,0,0.000000000000,0.000000000000,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000
1,0.100000,0.200000,0,0.000000000000,0.000000000000,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000
2,0.200000,0.300000,0,0.000000000000,0.000000000000,0.000000000000,0,0.000000000000,0.000000000000,0.000000000000
3,0.300000,0.400000,3,0.000000000000,0.355222582817,0.355222582817,6,0.166666671634,0.368396371603,0.201729699969
4,0.400000,0.500000,5,0.400000005960,0.444031238556,0.044031232595,7,0.285714298487,0.481358021498,0.195643723011
5,0.500000,0.600000,21,0.476190477610,0.555695950985,0.079505473375,19,0.578947365284,0.556504428387,0.022442936897
6,0.600000,0.700000,18,0.555555582047,0.657329797745,0.101774215698,26,0.653846144676,0.651284158230,0.002561986446
7,0.700000,0.800000,21,0.666666686535,0.746213495731,0.079546809196,23,0.608695626259,0.757521569729,0.148825943470
8,0.800000,0.900000,38,0.789473712444,0.862291038036,0.072817325592,49,0.816326558590,0.860627233982,0.044300675392
9,0.900000,1.000000,416,0.975961565971,0.986278414726,0.010316848755,392,0.987244904041,0.982341587543,0.004903316498
